specimen_id,group_id,thickness_mm,hole_diameter_mm,angle_deg,elastic_modulus_mpa,friction_coef,temperature_c,insertion_speed_mm_s,material_family,data_source,design_revision,measured_at,retention_pass,post_retention_force_n
000060,FAM-021,2.62095,7.97362,26.2135,2601.07,0.206517,21.1442,5.83147,POM,cae,R2,2024-04-27T22:00:00+00:00,0,15.6172
000061,FAM-027,1.69806,7.04984,20.9988,2783.75,0.393207,64.6914,24.198,POM,test,R2,2024-06-09T21:00:00+00:00,0,10.9798
000062,FAM-008,1.98468,8.24192,37.7499,1352.76,0.173885,62.4954,49.9786,PP,cae,R2,2024-10-06T20:00:00+00:00,0,9.18466
000063,FAM-031,2.26217,5.62226,26.7037,1518.97,0.305837,11.8052,34.7546,PP,test,R1,2024-05-07T04:00:00+00:00,0,14.4191
000064,FAM-017,2.10629,6.71733,36.0257,3016.06,0.447332,65.2354,5.00565,PA66,test,R1,2024-04-18T15:00:00+00:00,0,19.5719
000065,FAM-018,3.48627,7.42929,22.4017,2826.06,0.419481,46.3766,17.9518,POM,test,R1,2024-10-12T16:00:00+00:00,1,34.8661
000066,FAM-027,1.68322,6.98549,17.6077,2510.7,0.200356,-28.839,23.2314,POM,test,R2,2024-06-08T22:00:00+00:00,0,13.9179
000067,FAM-023,2.74436,6.26247,44.9459,2690.4,0.233059,25.5195,18.1131,PA66,test,R1,2024-05-18T11:00:00+00:00,0,26.6128
000068,FAM-008,2.00099,8.21957,34.9011,1380.93,0.298489,-28.4708,33.5431,PP,test,R2,2024-10-20T18:00:00+00:00,0,10.6855
000069,FAM-028,3.21531,8.29779,37.3909,2869.64,0.171326,-23.7504,38.5253,PA66,test,R2,2024-07-29T15:00:00+00:00,1,27.2928
000070,FAM-013,2.09204,7.70282,35.6408,2922.91,0.341434,6.45763,11.1174,PA66,test,R3,2024-04-02T06:00:00+00:00,1,18.7043
000071,FAM-010,2.1915,5.09817,22.4583,2823.74,0.262541,-10.7544,37.2656,POM,cae,R3,2024-02-14T04:00:00+00:00,1,33.6045
000072,FAM-023,2.61328,5.82148,47.8981,2880.75,0.371095,31.4244,49.3538,PA66,test,R1,2024-05-07T12:00:00+00:00,1,35.2151
000073,FAM-035,2.42131,8.25289,42.474,2810.85,0.447239,68.8782,41.5397,PA66,test,R1,2024-12-08T19:00:00+00:00,0,16.1984
000074,FAM-034,2.48285,8.40866,31.9018,2875.91,0.306968,-14.7856,8.60921,PA66,cae,R2,2024-02-03T21:00:00+00:00,1,23.3381
000075,FAM-022,3.50821,5.89182,44.7796,1340.59,0.239656,29.1038,49.5666,PP,cae,R2,2024-04-10T07:00:00+00:00,0,22.8196
000076,FAM-004,3.217,5.29636,37.4654,2799.46,0.30465,22.1015,43.5795,POM,test,R3,2024-10-31T21:00:00+00:00,1,49.1507
000077,FAM-032,2.52631,6.85787,23.8782,2951.67,0.389601,-22.3439,43.4557,PA66,test,R3,2024-04-22T03:00:00+00:00,1,25.141
000078,FAM-032,2.43126,6.8059,19.9215,3023.94,0.429394,42.5367,27.0284,PA66,test,R3,2024-05-05T22:00:00+00:00,1,23.1978
000079,FAM-037,2.17591,8.40943,39.4033,2721.7,0.327578,32.8378,23.3918,POM,test,R2,2025-01-13T17:00:00+00:00,0,15.4721
000080,FAM-012,3.18381,6.89197,22.4661,2689.1,0.427696,48.3016,47.0664,POM,test,R2,2024-02-07T16:00:00+00:00,1,29.5549
000081,FAM-026,1.70702,7.49911,25.1956,2635.3,0.415079,1.80463,27.9569,POM,test,R2,2024-02-17T22:00:00+00:00,0,8.43445
000082,FAM-003,1.48156,7.41235,43.2148,1446.84,0.161919,2.50547,15.4739,PP,test,R2,2024-11-29T21:00:00+00:00,0,7.98405
000083,FAM-005,2.74283,7.00909,41.7257,3010.56,0.180617,20.3147,23.5474,PA66,test,R3,2024-01-18T18:00:00+00:00,1,26.2403
000084,FAM-021,2.39901,8.33151,26.4941,2568.11,0.313058,24.9096,46.998,POM,test,R2,2024-04-23T14:00:00+00:00,0,15.898
000085,FAM-010,2.56614,5.48248,17.3945,2614.97,0.162469,42.8925,37.2937,POM,test,R3,2024-02-26T10:00:00+00:00,1,25.7543
000086,FAM-026,1.41516,7.19203,21.4878,2474.65,0.338832,36.6991,11.2913,POM,test,R2,2024-02-24T08:00:00+00:00,0,7.74666
000087,FAM-029,1.69904,8.39059,42.7023,2784.68,0.225083,3.99845,44.0595,POM,test,R2,2024-04-13T19:00:00+00:00,0,11.1994
000088,FAM-040,2.42269,6.41187,39.906,2701.03,0.402181,44.8528,17.67,PA66,test,R2,2024-05-06T23:00:00+00:00,1,25.0146
000089,FAM-025,3.74719,6.75311,37.8526,1521.82,0.439816,22.832,28.5798,PP,test,R1,2024-05-26T08:00:00+00:00,1,31.1944
000090,FAM-016,1.29346,8.17861,45.4923,2372.07,0.232304,-22.1396,19.5369,POM,cae,R1,2024-06-25T15:00:00+00:00,0,9.05613
000091,FAM-023,2.49564,5.91844,43.5826,2752.77,0.255033,33.4744,16.4769,PA66,test,R1,2024-05-16T01:00:00+00:00,1,30.4102
000092,FAM-035,2.68137,7.83915,42.6933,2593.08,0.165093,31.4647,40.5535,PA66,cae,R1,2024-12-10T21:00:00+00:00,1,18.6963
000093,FAM-013,2.29419,7.44433,36.6732,2982.29,0.39555,28.8836,15.6485,PA66,test,R3,2024-04-04T06:00:00+00:00,0,19.9322
000094,FAM-012,3.40982,6.65171,18.3703,2416.67,0.210486,-4.71921,40.3001,POM,cae,R2,2024-01-31T15:00:00+00:00,1,30.4413
000095,FAM-016,1.61562,8.10978,44.5609,2487.65,0.194457,-27.4803,40.771,POM,cae,R1,2024-06-12T06:00:00+00:00,0,12.4565
000096,FAM-026,1.40749,7.14255,18.5816,2692.29,0.394943,-18.6454,19.3043,POM,test,R2,2024-02-22T02:00:00+00:00,0,7.60954
000097,FAM-039,2.14722,7.91061,29.0497,1317.12,0.153017,-0.716576,15.9883,PP,cae,R1,2024-01-18T09:00:00+00:00,0,7.85302
000098,FAM-023,2.76301,5.59564,40.245,2855.89,0.444751,73.0079,49.4963,PA66,test,R1,2024-05-12T11:00:00+00:00,1,34.8158
000099,FAM-026,1.59944,7.02797,21.8683,2740.07,0.28526,53.9798,29.9275,POM,test,R2,2024-02-13T05:00:00+00:00,0,8.36098
000100,FAM-034,2.44759,8.57001,33.5792,2597.78,0.166236,-13.2267,43.1302,PA66,test,R2,2024-01-22T21:00:00+00:00,0,14.6831
000101,FAM-032,2.71517,6.88519,22.2384,3048.06,0.153022,54.9827,45.6185,PA66,test,R3,2024-05-05T04:00:00+00:00,0,20.3218
000102,FAM-003,1.1748,7.35859,43.1098,1503.48,0.302384,-13.6298,16.3566,PP,test,R2,2024-11-16T22:00:00+00:00,0,7.16787
000103,FAM-029,1.44669,8.29393,45.7808,2850.43,0.354081,-8.5992,41.0114,POM,test,R2,2024-04-11T13:00:00+00:00,0,12.6013
000104,FAM-017,1.9394,6.56333,37.3665,2635.87,0.445592,-3.65768,46.8922,PA66,cae,R1,2024-04-18T18:00:00+00:00,0,23.5806
000105,FAM-039,2.12089,7.07418,27.8952,1422.96,0.162088,22.6106,11.874,PP,cae,R1,2024-01-09T06:00:00+00:00,0,9.14248
000106,FAM-007,2.94518,7.13121,35.0846,2632.95,0.266106,13.6849,25.4535,PA66,cae,R2,2024-05-14T16:00:00+00:00,1,29.2786
000107,FAM-028,2.82237,8.73788,37.5985,2595.08,0.425708,-17.5425,41.7739,PA66,test,R2,2024-07-27T23:00:00+00:00,0,25.3467
000108,FAM-013,2.30027,7.35776,36.4393,2760.44,0.357575,42.9165,12.4687,PA66,cae,R3,2024-04-09T15:00:00+00:00,0,19.3507
000109,FAM-001,2.77345,6.68906,26.6175,2835.79,0.151399,-15.0775,33.1021,POM,cae,R2,2024-09-14T21:00:00+00:00,1,29.3114
000110,FAM-034,2.4314,8.6604,31.4827,2889.36,0.358429,-6.56585,34.9533,PA66,cae,R2,2024-01-28T15:00:00+00:00,0,19.067
000111,FAM-011,3.55073,6.14792,43.5481,2498.65,0.295999,5.72513,32.0752,POM,test,R3,2024-01-23T17:00:00+00:00,1,43.9642
000112,FAM-025,3.81526,6.41231,35.9831,1298.4,0.40047,-0.902051,32.6193,PP,test,R1,2024-05-28T17:00:00+00:00,1,32.2236
000113,FAM-038,2.5002,7.61838,38.7177,3003.66,0.286831,74.583,39.1443,PA66,test,R2,2024-01-27T00:00:00+00:00,0,14.1464
000114,FAM-001,2.83241,6.81733,29.7089,2714.44,0.166263,-3.17785,48.2399,POM,cae,R2,2024-10-01T19:00:00+00:00,1,25.9478
000115,FAM-008,1.84059,8.48699,38.1311,1502.47,0.232661,6.38869,20.3271,PP,test,R2,2024-10-09T05:00:00+00:00,0,7.55894
000116,FAM-038,2.50194,7.78527,39.9114,2873.93,0.315349,-16.5313,19.1442,PA66,test,R2,2024-01-25T23:00:00+00:00,0,20.7907
000117,FAM-009,2.15086,5.88775,39.3979,1361.41,0.252257,73.8465,32.8585,PP,cae,R3,2024-11-29T08:00:00+00:00,0,10.3468
000118,FAM-030,2.11567,7.34996,28.6908,2603.33,0.221101,-12.1297,15.3221,PA66,test,R1,2024-04-27T05:00:00+00:00,0,17.5715
000119,FAM-038,2.62341,7.74644,36.739,2652.43,0.197638,39.735,8.15011,PA66,test,R2,2024-01-20T22:00:00+00:00,0,15.2256
000120,FAM-007,3.05724,7.09171,33.3464,2574.34,0.259349,50.1664,41.1404,PA66,cae,R2,2024-05-20T06:00:00+00:00,1,23.752
000121,FAM-040,2.47778,6.72748,45.2911,2690.45,0.271288,-21.3207,6.45484,PA66,test,R2,2024-05-15T11:00:00+00:00,1,26.6859
000122,FAM-007,3.04128,7.27694,29.6686,2631.32,0.261094,45.7048,32.0296,PA66,cae,R2,2024-05-15T06:00:00+00:00,0,22.633
000123,FAM-002,1.76238,5.33699,27.9567,2390.63,0.187759,29.5868,44.0803,POM,test,R2,2024-03-07T20:00:00+00:00,0,16.2098
000124,FAM-017,1.9705,6.93916,35.6156,3022.01,0.397504,49.9798,22.2703,PA66,test,R1,2024-04-29T01:00:00+00:00,0,18.0175
000125,FAM-028,3.20488,8.8924,41.3067,3054.15,0.436597,49.8863,39.1917,PA66,cae,R2,2024-07-25T02:00:00+00:00,1,26.691
000126,FAM-003,1.45426,7.45578,39.5676,1351.89,0.248999,21.4489,37.4939,PP,cae,R2,2024-11-21T15:00:00+00:00,0,9.34619
000127,FAM-004,3.1218,5.23923,32.8697,2758.9,0.269392,60.2912,47.9085,POM,cae,R3,2024-11-12T02:00:00+00:00,1,40.0295
000128,FAM-035,2.56388,7.47204,41.2627,2812.24,0.256141,-16.6173,7.77855,PA66,test,R1,2024-12-04T04:00:00+00:00,1,25.9488
000129,FAM-009,2.61473,5.92821,31.991,1487.06,0.384124,62.1843,28.3371,PP,test,R3,2024-12-08T00:00:00+00:00,0,20.8817
000130,FAM-034,2.28864,8.35232,37.0565,2945.16,0.430102,42.1289,28.1814,PA66,test,R2,2024-01-20T06:00:00+00:00,0,18.9993
000131,FAM-016,1.58034,8.23627,46.4625,2488.91,0.241596,25.9965,6.19024,POM,test,R1,2024-06-11T02:00:00+00:00,0,8.71143
000132,FAM-016,1.57092,8.11072,43.0551,2615.25,0.399053,-12.8957,5.53026,POM,test,R1,2024-06-08T11:00:00+00:00,0,11.7173
000133,FAM-038,2.52367,7.67689,38.4933,2557.58,0.219918,26.9486,43.2962,PA66,test,R2,2024-01-27T04:00:00+00:00,0,16.9453
000134,FAM-006,1.83082,5.28873,31.2413,1370.26,0.254875,-5.31485,47.4891,PP,cae,R3,2024-07-13T10:00:00+00:00,0,16.8107
000135,FAM-003,1.36813,7.13012,41.4851,1431.67,0.234739,58.8903,18.2673,PP,test,R2,2024-12-03T21:00:00+00:00,0,9.90958
000136,FAM-017,1.94502,6.46316,32.801,2702.85,0.173601,25.8877,18.5573,PA66,test,R1,2024-05-02T08:00:00+00:00,0,16.0949
000137,FAM-015,2.50707,5.18607,26.3898,2812.98,0.24327,45.6566,37.7486,PA66,test,R3,2024-05-26T05:00:00+00:00,1,30.8339
000138,FAM-039,1.98925,7.6315,27.7211,1331.6,0.319955,73.5556,37.8814,PP,test,R1,2024-01-05T18:00:00+00:00,0,9.06654
000139,FAM-018,3.22162,7.21685,25.6749,2807.41,0.152666,70.8353,14.3966,POM,cae,R1,2024-10-29T18:00:00+00:00,1,22.9056
000140,FAM-008,2.17048,8.39755,33.4505,1361.47,0.225598,41.0659,12.5454,PP,test,R2,2024-10-12T18:00:00+00:00,0,9.13861
000141,FAM-035,2.70279,7.71297,38.6225,2945.12,0.179629,59.9371,12.2988,PA66,test,R1,2024-12-05T00:00:00+00:00,0,19.0265
000142,FAM-032,2.59645,7.13252,25.4216,2526.7,0.232255,22.9061,26.4102,PA66,test,R3,2024-04-29T01:00:00+00:00,0,18.9463
000143,FAM-009,2.26004,6.25521,32.6495,1421.4,0.165241,27.7874,42.8475,PP,test,R3,2024-12-08T10:00:00+00:00,0,14.3488
000144,FAM-018,2.99233,7.25496,23.8453,2544.28,0.258675,73.2993,49.4934,POM,test,R1,2024-10-28T18:00:00+00:00,0,20.6064
000145,FAM-008,1.90925,8.3016,34.1351,1413.32,0.16468,-26.6947,37.7796,PP,cae,R2,2024-10-17T23:00:00+00:00,0,9.82937
000146,FAM-006,1.92225,5.16701,30.944,1269.12,0.20487,10.8573,29.4579,PP,cae,R3,2024-06-27T08:00:00+00:00,0,14.5852
000147,FAM-003,1.37739,7.4472,38.8411,1435.05,0.317617,18.1361,47.5631,PP,test,R2,2024-11-17T20:00:00+00:00,0,5.33588
000148,FAM-011,3.24818,6.62944,43.9161,2845.15,0.241834,-14.0106,12.4358,POM,test,R3,2024-01-08T13:00:00+00:00,1,41.1545
000149,FAM-040,2.64236,6.61519,48.2408,2859.44,0.353202,-4.52719,10.1144,PA66,cae,R2,2024-05-02T06:00:00+00:00,1,29.2232
000150,FAM-018,3.14581,7.4425,23.4914,2575.79,0.372866,39.3156,41.1998,POM,test,R1,2024-10-17T07:00:00+00:00,1,27.1967
000151,FAM-005,2.71648,7.53917,42.5832,2614.19,0.300265,70.983,15.0717,PA66,test,R3,2024-01-31T05:00:00+00:00,0,18.6991
000152,FAM-040,2.21311,6.58734,46.6555,2979.89,0.155985,27.6202,31.3195,PA66,test,R2,2024-05-03T22:00:00+00:00,0,19.4148
000153,FAM-020,2.5962,7.67335,36.7149,1497.57,0.224667,9.37569,37.4201,PP,cae,R1,2024-02-07T00:00:00+00:00,0,9.20001
000154,FAM-030,1.99846,6.84498,31.3424,2836.62,0.332906,-26.262,36.0108,PA66,test,R1,2024-04-18T20:00:00+00:00,0,20.2895
000155,FAM-007,3.17996,7.35012,30.6684,2623.95,0.397202,75.3574,43.0679,PA66,test,R2,2024-05-19T04:00:00+00:00,1,25.4069
000156,FAM-028,2.96868,8.46934,37.3595,3020.84,0.380182,75.9573,6.12205,PA66,cae,R2,2024-07-28T13:00:00+00:00,0,21.7535
000157,FAM-019,3.4294,8.42169,38.2261,1415.23,0.157657,-27.7959,6.68608,PP,test,R1,2024-12-13T11:00:00+00:00,0,14.4825
000158,FAM-016,1.70993,8.19337,45.311,2592,0.406172,22.3445,27.179,POM,test,R1,2024-06-10T19:00:00+00:00,0,12.5797
000159,FAM-030,2.04357,7.08876,31.1053,3061.69,0.344239,70.3708,37.9589,PA66,test,R1,2024-04-19T20:00:00+00:00,0,16.3359
000160,FAM-031,1.94517,5.33368,23.7065,1471.31,0.437733,78.7751,14.3675,PP,test,R1,2024-05-10T08:00:00+00:00,0,8.73298
000161,FAM-018,3.20324,7.14795,24.4998,2661.21,0.373308,56.5438,47.3914,POM,cae,R1,2024-10-28T11:00:00+00:00,1,25.8331
000162,FAM-024,3.23275,5.17958,24.9214,2373.97,0.223723,-23.0274,32.1022,POM,cae,R2,2024-12-10T02:00:00+00:00,1,44.5772
000163,FAM-011,3.59183,6.4018,43.1135,2672.08,0.248537,28.6678,20.237,POM,cae,R3,2024-01-18T03:00:00+00:00,1,41.0186
000164,FAM-014,2.2981,5.32399,27.1786,1266.86,0.399994,41.4314,44.7272,PP,test,R1,2024-11-09T02:00:00+00:00,0,18.5592
000165,FAM-013,1.96495,7.59054,30.7569,2592.15,0.448476,-11.2634,39.2721,PA66,cae,R3,2024-03-24T17:00:00+00:00,0,15.1099
000166,FAM-026,1.72813,7.43867,21.8975,2356.62,0.389174,-28.0386,5.67115,POM,cae,R2,2024-02-28T20:00:00+00:00,0,12.1374
000167,FAM-036,1.72758,7.76732,32.5236,1326.18,0.419088,50.3423,29.8712,PP,test,R1,2024-09-09T16:00:00+00:00,0,10.4001
000168,FAM-037,2.13886,8.46386,40.0443,2573.02,0.269512,-18.12,11.2171,POM,cae,R2,2025-01-11T06:00:00+00:00,0,13.3583
000169,FAM-004,3.15339,5.3377,34.6362,2758.54,0.230701,17.666,23.0234,POM,cae,R3,2024-10-28T21:00:00+00:00,1,44.1591
000170,FAM-013,2.17341,7.64641,34.0181,2639.88,0.387097,49.1947,24.7625,PA66,cae,R3,2024-03-25T15:00:00+00:00,0,16.0307
000171,FAM-038,2.20428,7.65897,35.0552,3076.72,0.153188,70.4375,20.2708,PA66,cae,R2,2024-01-23T15:00:00+00:00,0,13.1388
000172,FAM-004,3.12045,5.48009,35.1318,2517.97,0.253423,39.9531,44.942,POM,test,R3,2024-11-09T22:00:00+00:00,1,36.1061
000173,FAM-015,2.24892,4.579,25.5102,2621.65,0.398908,1.76572,31.7399,PA66,test,R3,2024-05-20T21:00:00+00:00,1,43.0162
000174,FAM-026,1.68808,7.3936,20.1147,2844.76,0.327692,27.1137,35.4797,POM,cae,R2,2024-02-22T14:00:00+00:00,0,8.67799
000175,FAM-006,2.05951,5.20425,31.4806,1394.53,0.420421,20.2965,47.1429,PP,test,R3,2024-07-01T04:00:00+00:00,0,19.349
000176,FAM-005,2.82461,7.33001,42.9457,2673.38,0.182976,-27.2047,34.6785,PA66,test,R3,2024-01-28T04:00:00+00:00,1,27.1021
000177,FAM-023,2.78126,6.05633,42.8164,2881.33,0.429777,70.4206,39.9386,PA66,test,R1,2024-05-07T08:00:00+00:00,1,32.3181
000178,FAM-014,2.10957,5.88044,24.2933,1433.67,0.313192,40.8447,37.6193,PP,test,R1,2024-11-08T06:00:00+00:00,0,15.5943
000179,FAM-009,2.21564,6.35774,39.4077,1413.26,0.42343,-8.32025,27.6171,PP,cae,R3,2024-11-24T07:00:00+00:00,0,15.8139
