specimen_id,group_id,thickness_mm,hole_diameter_mm,angle_deg,elastic_modulus_mpa,friction_coef,temperature_c,insertion_speed_mm_s,material_family,data_source,design_revision,measured_at,insertion_force_n,post_retention_force_n
000019,FAM-005,1.79869,8.18843,13.6766,2460.93,0.353722,-3.43614,46.3278,POM,test,R3,2024-07-18T15:00:00+00:00,8.88848,11.0052
000020,FAM-025,3.11292,7.515,34.8815,1277.98,0.376964,-0.841498,14.6784,PP,test,R3,2024-06-16T04:00:00+00:00,27.403,18.1635
000021,FAM-015,2.48163,7.49648,24.08,2739.1,0.24843,10.3397,18.9501,POM,test,R3,2024-10-17T20:00:00+00:00,16.5461,17.2105
000022,FAM-022,1.99841,6.41552,35.7476,2730.82,0.396492,48.9271,25.8667,PA66,cae,R1,2024-12-15T04:00:00+00:00,16.9584,20.2328
000023,FAM-020,2.81298,5.64667,42.9201,2537.72,0.357564,74.4563,42.9986,POM,test,R1,2024-08-06T03:00:00+00:00,32.053,32.6653
000024,FAM-012,3.30814,4.83245,39.9115,2564.29,0.317773,43.5941,41.1191,POM,test,R2,2024-02-11T10:00:00+00:00,51.4676,52.8547
000025,FAM-027,2.36102,7.14572,29.5788,2763.82,0.150298,30.1883,10.6809,POM,test,R3,2024-08-24T16:00:00+00:00,17.0982,14.1908
000026,FAM-005,1.81894,8.05175,17.1336,2506.84,0.160527,19.3458,10.6002,POM,cae,R3,2024-07-08T04:00:00+00:00,5.831,6.7125
000027,FAM-036,2.10083,5.84354,38.8363,2734.18,0.44726,61.1014,23.753,POM,cae,R3,2024-11-04T18:00:00+00:00,19.4434,25.1726
000028,FAM-034,2.51007,5.90099,30.3783,1523.07,0.384685,63.4623,44.1543,PP,cae,R1,2024-11-04T03:00:00+00:00,19.1727,15.7717
000029,FAM-027,2.63066,7.09091,28.5545,2683.65,0.43127,2.23414,44.6938,POM,test,R3,2024-08-31T18:00:00+00:00,31.288,22.4172
000030,FAM-018,1.61117,7.35056,17.9755,2761.74,0.420691,74.8762,9.83146,PA66,test,R2,2024-12-23T02:00:00+00:00,8.0565,9.60233
000031,FAM-007,3.07519,6.64042,32.9582,1469.38,0.156133,13.4627,30.8434,PP,test,R1,2024-08-17T11:00:00+00:00,21.6339,17.5161
000032,FAM-011,2.35662,5.8638,19.2087,2776.42,0.387554,58.0086,12.0054,PA66,test,R3,2024-11-13T15:00:00+00:00,21.4968,20.8546
000033,FAM-011,2.25977,5.84735,19.5975,2752.08,0.285344,76.3502,35.8758,PA66,test,R3,2024-11-05T06:00:00+00:00,17.7109,16.436
000034,FAM-006,3.47086,8.53461,17.2711,2814.16,0.386867,47.4024,46.2395,PA66,test,R2,2024-01-19T14:00:00+00:00,34.4645,24.3496
000035,FAM-034,2.36448,5.72224,30.7498,1348.96,0.152015,-12.2294,25.4646,PP,test,R1,2024-10-31T16:00:00+00:00,16.398,17.0888
000036,FAM-039,1.94493,7.21714,26.8837,2578.38,0.23646,34.4751,8.73872,PA66,cae,R3,2024-05-18T15:00:00+00:00,11.9145,13.3016
000037,FAM-028,1.47821,6.44234,22.8135,2555.72,0.375397,-16.9345,31.0664,POM,test,R1,2024-10-27T09:00:00+00:00,10.5335,14.7559
000038,FAM-015,2.32466,8.07357,24.227,2404.41,0.387906,56.8056,23.3833,POM,test,R3,2024-10-18T18:00:00+00:00,14.7687,11.9043
000039,FAM-038,2.5465,7.36331,37.7935,1374.92,0.335914,0.944669,41.4904,PP,test,R1,2024-04-11T17:00:00+00:00,23.2011,17.4936
000040,FAM-039,1.95427,7.16566,30.1245,2831.88,0.240377,46.4736,20.3155,PA66,cae,R3,2024-05-05T07:00:00+00:00,12.0852,13.5947
000041,FAM-016,2.00551,8.39454,33.3198,3041.2,0.243109,70.1099,44.3704,PA66,cae,R3,2024-06-15T17:00:00+00:00,11.2242,13.9365
000042,FAM-039,2.05433,7.32974,27.0505,2540.28,0.440029,-10.0889,17.3165,PA66,test,R3,2024-05-03T22:00:00+00:00,22.0325,20.0071
000043,FAM-019,3.09904,5.59824,19.4155,2868.02,0.281764,13.2144,12.0883,PA66,cae,R2,2024-03-20T19:00:00+00:00,32.4147,44.6452
000044,FAM-030,2.97954,6.70333,43.2998,2578.02,0.284138,41.1831,18.7916,POM,cae,R1,2024-01-22T17:00:00+00:00,30.1277,27.4695
000045,FAM-029,1.86541,5.04651,17.0233,2350.54,0.3157,16.1624,6.57121,POM,cae,R3,2024-11-18T18:00:00+00:00,16.0348,19.6535
000046,FAM-009,1.57101,7.78763,21.4189,1329.87,0.272851,-10.7699,17.6561,PP,cae,R1,2024-03-14T19:00:00+00:00,6.24935,8.42825
000047,FAM-034,2.45727,5.88528,34.3358,1293.18,0.315801,-26.8021,34.7053,PP,test,R1,2024-11-14T06:00:00+00:00,24.7512,21.1141
000048,FAM-024,3.21113,8.05148,46.6587,1320.7,0.279701,14.7258,11.4027,PP,cae,R3,2024-11-06T17:00:00+00:00,22.1154,15.4455
000049,FAM-007,2.77402,6.56563,40.2274,1336.88,0.398014,41.413,10.0114,PP,test,R1,2024-08-07T04:00:00+00:00,20.713,17.7151
000050,FAM-010,2.24402,5.4234,28.2985,2744.73,0.422715,33.1383,10.9573,PA66,cae,R2,2024-08-19T08:00:00+00:00,23.0096,28.196
000051,FAM-021,2.86302,7.78004,42.2852,1408.13,0.429633,-12.8135,8.48983,PP,test,R1,2024-03-26T22:00:00+00:00,21.1635,17.0123
000052,FAM-006,3.45907,8.80191,17.724,2520.55,0.319289,19.5763,44.3586,PA66,cae,R2,2024-01-15T06:00:00+00:00,29.9582,22.0234
000053,FAM-026,1.8482,6.85892,36.3106,2424.17,0.282645,10.6418,47.4852,POM,cae,R3,2024-06-27T20:00:00+00:00,16.2563,14.5181
000054,FAM-007,2.97175,6.61472,35.3723,1286.2,0.361572,0.162264,7.09525,PP,test,R1,2024-08-05T10:00:00+00:00,19.1832,23.2152
000055,FAM-009,1.84918,7.57794,16.867,1413.91,0.401497,50.2198,39.2032,PP,cae,R1,2024-03-07T05:00:00+00:00,8.18223,5.98829
000056,FAM-031,3.04051,5.97382,28.8586,2704.28,0.318895,4.06172,38.1718,PA66,test,R2,2024-09-15T02:00:00+00:00,41.6529,35.7165
000057,FAM-038,2.49882,7.65698,35.0472,1413.55,0.359994,29.4156,49.8609,PP,test,R1,2024-04-10T13:00:00+00:00,17.6162,16.197
000058,FAM-021,3.07765,7.82598,42.4294,1322.11,0.374919,71.5546,20.6542,PP,test,R1,2024-03-18T10:00:00+00:00,18.3728,13.9194
000059,FAM-007,3.1147,6.78501,35.0827,1266.78,0.352918,29.3204,17.8479,PP,cae,R1,2024-08-18T12:00:00+00:00,25.524,17.9146
000060,FAM-003,2.901,7.83954,37.2213,3047.17,0.37384,37.8725,25.3887,PA66,test,R3,2024-12-26T01:00:00+00:00,30.0719,25.0471
000061,FAM-040,2.78496,8.362,34.2879,2580.65,0.212594,-21.9429,43.5459,PA66,test,R1,2024-07-20T06:00:00+00:00,26.2407,21.4124
000062,FAM-034,1.91389,5.4669,32.6784,1295.52,0.299512,-10.4052,37.7867,PP,test,R1,2024-11-09T00:00:00+00:00,17.4058,12.5417
000063,FAM-012,3.35894,5.34754,37.0482,2416.2,0.326481,-18.8954,26.2231,POM,test,R2,2024-02-26T07:00:00+00:00,56.4244,54.8821
000064,FAM-019,3.15457,5.6342,22.9119,3069.51,0.150743,54.1294,16.0053,PA66,test,R2,2024-03-06T22:00:00+00:00,29.3697,33.1044
000065,FAM-007,3.17911,6.76548,37.2254,1432.94,0.406789,61.9513,37.7157,PP,cae,R1,2024-08-14T03:00:00+00:00,25.9345,21.4764
000066,FAM-032,3.61316,6.39014,22.0411,2861.76,0.333007,-9.48992,43.4537,PA66,test,R2,2024-02-21T16:00:00+00:00,54.5562,43.4272
000067,FAM-001,3.07833,6.58245,32.7743,3072.55,0.188741,-5.88011,22.9978,PA66,cae,R3,2024-07-20T00:00:00+00:00,34.9052,34.7183
000068,FAM-032,3.35997,6.6633,18.4971,2569.53,0.394907,5.5528,35.0863,PA66,test,R2,2024-02-09T13:00:00+00:00,40.634,35.8674
000069,FAM-021,3.08895,7.6702,45.4231,1532.86,0.365117,35.0185,23.0095,PP,cae,R1,2024-03-12T22:00:00+00:00,21.9697,18.2019
000070,FAM-014,3.06634,7.71602,24.5837,2634.25,0.37749,38.3976,26.5322,PA66,test,R2,2024-03-04T08:00:00+00:00,27.8093,22.4161
000071,FAM-027,2.43323,7.45373,26.393,2664,0.267613,45.5429,28.621,POM,test,R3,2024-09-01T04:00:00+00:00,17.0352,13.4409
000072,FAM-010,2.54869,5.20597,29.9531,2755.25,0.406261,69.5712,39.9077,PA66,test,R2,2024-09-02T13:00:00+00:00,31.6572,30.7511
000073,FAM-026,1.80561,7.40908,36.3263,2539.65,0.274208,2.45442,48.9878,POM,test,R3,2024-07-08T06:00:00+00:00,14.2145,14.7287
000074,FAM-030,2.98695,6.74853,40.2731,2824.25,0.321153,42.4635,24.9965,POM,test,R1,2024-01-20T21:00:00+00:00,32.4223,27.0853
000075,FAM-011,2.34321,5.75888,18.9594,2603.57,0.150193,31.5695,20.4042,PA66,cae,R3,2024-11-13T20:00:00+00:00,17.1582,16.1373
000076,FAM-009,1.61301,7.43576,22.2969,1539.18,0.343462,3.6421,21.8116,PP,test,R1,2024-03-01T15:00:00+00:00,8.61285,7.53738
000077,FAM-010,2.54686,5.65962,28.4194,2732.31,0.365453,69.8157,11.025,PA66,test,R2,2024-08-26T15:00:00+00:00,20.712,26.7737
000078,FAM-018,1.73242,6.79214,14.8422,2883.31,0.320133,-19.4968,18.3622,PA66,test,R2,2025-01-03T14:00:00+00:00,14.2564,15.5365
000079,FAM-036,1.89423,6.25521,42.5836,2843.31,0.298968,48.3201,8.89013,POM,cae,R3,2024-10-26T17:00:00+00:00,13.9091,20.0427
000080,FAM-036,1.76459,5.82711,41.683,2369.95,0.392981,50.0661,24.2552,POM,test,R3,2024-10-31T11:00:00+00:00,14.4891,20.7973
000081,FAM-013,2.65885,8.15839,27.1437,3036.8,0.354412,70.6859,12.5311,PA66,test,R1,2024-09-23T23:00:00+00:00,17.2069,21.7915
000082,FAM-007,2.94163,6.52608,33.5064,1418.99,0.233422,27.0439,20.5883,PP,test,R1,2024-08-07T08:00:00+00:00,20.5845,21.2709
000083,FAM-022,2.29044,7.11829,34.502,2914.46,0.437722,5.37846,40.711,PA66,test,R1,2024-12-10T00:00:00+00:00,26.6557,25.4202
000084,FAM-008,2.92878,6.11758,28.7469,2417.58,0.36218,61.0515,16.0667,POM,test,R2,2024-07-24T16:00:00+00:00,26.5214,32.9213
000085,FAM-036,1.94457,5.98671,43.0298,2617.36,0.446382,54.7891,32.5353,POM,test,R3,2024-10-29T15:00:00+00:00,17.6912,24.119
000086,FAM-039,1.76756,7.12681,25.8896,2897.17,0.441378,25.0347,45.5532,PA66,test,R3,2024-05-13T23:00:00+00:00,20.3454,18.4861
000087,FAM-012,3.32292,5.28403,35.7206,2577.25,0.425673,54.4643,30.5118,POM,test,R2,2024-02-19T09:00:00+00:00,47.9452,50.0561
000088,FAM-033,2.1681,8.52087,25.529,2606.79,0.376611,-0.533684,13.7207,PA66,test,R2,2024-04-20T10:00:00+00:00,16.9636,15.903
000089,FAM-017,2.97594,6.75854,21.0918,1328.35,0.332829,34.8457,20.5145,PP,test,R1,2024-01-14T13:00:00+00:00,19.3286,14.6443
000090,FAM-030,2.6595,6.69958,44.1456,2784.28,0.201651,65.1702,31.5666,POM,cae,R1,2024-01-09T09:00:00+00:00,23.4217,20.3389
000091,FAM-015,2.60763,7.50723,21.6805,2357.92,0.313005,4.9783,27.7975,POM,test,R3,2024-10-09T18:00:00+00:00,21.4412,19.7539
000092,FAM-030,2.88857,6.82456,42.7421,2708.61,0.379613,23.1905,11.6879,POM,test,R1,2024-01-10T10:00:00+00:00,32.7374,28.4886
000093,FAM-024,3.34792,7.70803,44.5687,1539.83,0.306257,74.6149,25.1058,PP,test,R3,2024-10-21T18:00:00+00:00,20.2992,18.8679
000094,FAM-005,1.70611,8.4794,17.8505,2343.89,0.410472,57.8033,29.438,POM,test,R3,2024-07-04T10:00:00+00:00,7.95156,4.41376
000095,FAM-026,1.95599,7.24004,37.6086,2423.74,0.182897,67.5743,17.03,POM,cae,R3,2024-06-21T05:00:00+00:00,11.3574,15.241
000096,FAM-026,1.86622,7.69171,31.7521,2690.56,0.264282,12.3772,32.56,POM,test,R3,2024-06-28T23:00:00+00:00,12.6228,14.5493
000097,FAM-031,3.20763,5.63831,27.1037,2553.59,0.301789,79.6156,8.1572,PA66,test,R2,2024-09-09T12:00:00+00:00,25.4163,31.7029
000098,FAM-007,2.95381,6.52938,36.9472,1425.14,0.279698,-13.2178,20.1473,PP,test,R1,2024-08-17T16:00:00+00:00,24.6653,24.2086
000099,FAM-039,2.12365,7.58779,27.5728,2903.04,0.182576,27.0648,41.1925,PA66,test,R3,2024-05-09T14:00:00+00:00,16.3195,16.1222
000100,FAM-014,3.04887,7.89768,27.3859,2849.36,0.196058,22.7201,16.6678,PA66,cae,R2,2024-02-24T08:00:00+00:00,24.4781,23.2883
000101,FAM-006,3.44221,8.07982,19.2802,2724.5,0.401285,57.8275,32.233,PA66,test,R2,2024-01-10T23:00:00+00:00,29.9603,23.6914
000102,FAM-013,2.62694,8.19249,29.6016,2910.48,0.295315,69.948,23.4513,PA66,test,R1,2024-10-05T08:00:00+00:00,16.4663,22.6989
000103,FAM-002,2.44601,8.33111,26.7631,2649.03,0.164617,50.4253,19.2407,POM,cae,R2,2024-05-03T23:00:00+00:00,17.9855,15.0155
000104,FAM-029,2.02535,5.17966,14.1991,2447.97,0.154947,38.9498,46.2259,POM,cae,R3,2024-11-10T10:00:00+00:00,16.876,19.1447
000105,FAM-032,3.42342,6.49438,20.1599,2835.36,0.292043,17.0172,20.4468,PA66,test,R2,2024-02-13T00:00:00+00:00,40.3023,36.9188
000106,FAM-022,2.17952,6.86652,36.824,3013.87,0.199314,26.1359,15.6504,PA66,test,R1,2024-12-12T00:00:00+00:00,14.993,17.9472
000107,FAM-021,2.84898,7.354,40.0765,1446.71,0.361538,26.023,45.9186,PP,test,R1,2024-03-11T23:00:00+00:00,23.8416,17.2395
000108,FAM-007,2.98789,6.57694,37.9333,1392.1,0.388597,-27.7595,38.5675,PP,cae,R1,2024-08-09T12:00:00+00:00,32.6289,27.408
000109,FAM-013,2.54881,8.2377,30.2015,2700.09,0.218489,25.335,35.681,PA66,test,R1,2024-09-30T09:00:00+00:00,19.1913,16.1895
000110,FAM-033,2.01472,8.36813,24.4324,2568.1,0.327653,64.1568,7.22907,PA66,test,R2,2024-04-30T19:00:00+00:00,6.32089,12.7459
000111,FAM-017,2.64319,6.51265,19.7268,1328.5,0.196333,48.0201,10.9042,PP,cae,R1,2024-01-17T14:00:00+00:00,12.7774,11.5763
000112,FAM-006,3.6491,8.41676,15.1453,2526.26,0.241075,57.5279,33.7253,PA66,test,R2,2024-01-29T15:00:00+00:00,26.1606,24.4121
000113,FAM-012,3.77491,5.10235,39.662,2853.05,0.416639,12.9533,14.4245,POM,test,R2,2024-02-15T16:00:00+00:00,69.8064,71.5529
000114,FAM-028,1.49962,6.0706,22.0742,2455.69,0.313229,28.1871,15.1537,POM,test,R1,2024-10-22T04:00:00+00:00,8.11701,15.2588
000115,FAM-006,3.66654,8.16294,13.7331,2976.33,0.415767,-26.3168,40.0612,PA66,cae,R2,2024-01-17T02:00:00+00:00,48.3094,34.9253
000116,FAM-022,2.24561,6.58425,38.4617,2614.44,0.217574,12.1298,17.8666,PA66,test,R1,2024-12-06T17:00:00+00:00,18.6127,20.1368
000117,FAM-022,2.18636,6.6793,36.0179,2678.82,0.249007,22.1858,8.22143,PA66,test,R1,2024-12-13T00:00:00+00:00,13.1539,18.0035
000118,FAM-007,3.08717,6.44235,38.8807,1377.12,0.291286,-1.92702,6.63944,PP,test,R1,2024-08-10T17:00:00+00:00,22.6997,21.1907
000119,FAM-017,2.61846,7.08135,26.4083,1350.83,0.294024,-26.5635,24.943,PP,cae,R1,2024-01-12T03:00:00+00:00,22.3651,14.4892
000120,FAM-005,1.70491,8.20114,16.5985,2755.14,0.449294,45.9449,32.7708,POM,cae,R3,2024-07-04T06:00:00+00:00,10.4682,8.43966
000121,FAM-003,3.15595,7.9291,40.1466,3056.31,0.184334,17.8597,44.0998,PA66,test,R3,2024-12-30T16:00:00+00:00,30.7012,28.8899
000122,FAM-004,2.68502,6.1418,21.4042,2795.15,0.40559,15.7246,9.9862,POM,test,R3,2024-12-19T14:00:00+00:00,25.8646,31.3623
000123,FAM-029,1.57704,5.17286,22.4466,2419.86,0.409105,-2.50146,13.8503,POM,cae,R3,2024-11-24T18:00:00+00:00,16.0053,17.6208
000124,FAM-004,2.99272,6.22119,21.9512,2743.88,0.31596,29.1613,28.841,POM,cae,R3,2024-12-04T14:00:00+00:00,31.4898,30.3569
000125,FAM-012,3.31202,5.20406,32.7289,2416.93,0.253211,18.1829,21.3849,POM,test,R2,2024-02-10T01:00:00+00:00,40.8749,47.2913
000126,FAM-023,3.35198,7.15398,23.8694,3031.49,0.305768,22.1383,26.7142,PA66,test,R3,2024-10-15T20:00:00+00:00,36.44,32.1703
000127,FAM-015,2.3881,7.50616,26.3283,2609.3,0.23774,33.8958,46.5856,POM,cae,R3,2024-10-16T05:00:00+00:00,16.7412,15.9328
000128,FAM-012,3.47277,4.75306,38.295,2514.92,0.389732,-29.3043,29.5201,POM,cae,R2,2024-02-19T03:00:00+00:00,78.6408,75.2661
000129,FAM-010,2.42783,5.45263,29.1781,2607.93,0.299484,69.8465,23.6804,PA66,test,R2,2024-08-25T21:00:00+00:00,21.0097,26.0629
000130,FAM-021,2.91777,7.4238,44.5873,1263.31,0.427753,-22.1804,49.5248,PP,test,R1,2024-03-17T04:00:00+00:00,31.8009,18.6204
000131,FAM-030,3.05004,6.82891,43.9336,2468.93,0.336807,19.6017,7.93471,POM,test,R1,2024-01-17T12:00:00+00:00,28.2915,27.5787
000132,FAM-034,2.4778,5.8426,37.5216,1515.93,0.304296,-7.18898,46.9451,PP,cae,R1,2024-11-14T11:00:00+00:00,24.8102,19.9826
000133,FAM-002,2.45194,8.80563,25.6916,2754.58,0.363321,27.6161,27.5748,POM,test,R2,2024-04-24T18:00:00+00:00,22.6059,16.8877
000134,FAM-002,2.52381,7.98317,26.1768,2844.29,0.30118,0.825312,27.669,POM,test,R2,2024-04-14T01:00:00+00:00,26.9389,18.5173
000135,FAM-029,1.99487,5.164,17.2795,2392.4,0.421352,64.6007,46.4884,POM,test,R3,2024-11-18T02:00:00+00:00,18.2823,19.3648
000136,FAM-040,3.00914,7.91,32.8388,2851.62,0.205334,13.5996,27.8296,PA66,cae,R1,2024-07-27T09:00:00+00:00,27.1776,23.776
000137,FAM-011,2.33371,5.70095,17.7893,2664,0.442005,40.2631,24.7283,PA66,cae,R3,2024-11-07T11:00:00+00:00,23.488,24.9071
000138,FAM-037,1.8496,6.20266,32.2302,2622.33,0.393657,-2.62323,17.262,POM,cae,R1,2024-06-19T18:00:00+00:00,16.6912,19.2081
000139,FAM-038,2.52936,7.18259,35.7145,1349.73,0.40822,-27.8653,34.6468,PP,test,R1,2024-03-27T14:00:00+00:00,24.8523,19.6659
000140,FAM-029,1.64398,5.17064,18.6304,2487.4,0.294872,14.457,30.634,POM,cae,R3,2024-11-21T03:00:00+00:00,14.673,14.9705
000141,FAM-021,3.12128,8.05419,41.271,1420.68,0.40116,29.0135,14.6455,PP,cae,R1,2024-03-15T23:00:00+00:00,21.6815,14.1248
000142,FAM-010,2.1974,5.46832,33.9021,2622.66,0.242032,20.5502,36.9236,PA66,test,R2,2024-08-29T11:00:00+00:00,21.8243,23.9908
000143,FAM-028,1.46842,6.26776,23.194,2583.95,0.378584,75.8216,33.9839,POM,test,R1,2024-11-01T23:00:00+00:00,7.3178,11.1889
000144,FAM-038,2.64694,7.85265,39.1659,1442.23,0.192135,47.7523,22.88,PP,cae,R1,2024-03-26T23:00:00+00:00,15.8608,10.2749
000145,FAM-013,2.91376,8.11491,28.9075,2591.78,0.242116,79.5237,5.19804,PA66,test,R1,2024-09-25T01:00:00+00:00,13.746,18.0323
000146,FAM-038,2.67452,7.53147,38.2367,1520.57,0.28372,2.45661,25.0962,PP,test,R1,2024-04-10T12:00:00+00:00,18.9724,16.4004
000147,FAM-036,1.83819,5.67039,41.2569,2602.98,0.246696,56.7959,5.27262,POM,test,R3,2024-10-27T10:00:00+00:00,9.55031,17.822
000148,FAM-037,1.58701,6.30257,40.4932,2766.15,0.266105,31.1114,8.37493,POM,test,R1,2024-06-17T11:00:00+00:00,7.05188,14.9951
000149,FAM-003,3.18113,7.77843,39.5325,2886.19,0.396031,37.2936,24.3774,PA66,test,R3,2024-12-30T07:00:00+00:00,34.22,29.222
000150,FAM-024,3.30155,7.85746,45.0675,1458.8,0.227003,78.4439,8.68639,PP,cae,R3,2024-10-22T13:00:00+00:00,16.4779,18.8233
000151,FAM-005,1.7002,8.35436,16.414,2712.39,0.373584,41.9386,17.4049,POM,test,R3,2024-07-16T11:00:00+00:00,6.69785,9.74965
000152,FAM-022,2.3791,6.76765,35.4146,3010.06,0.172114,68.8699,34.4971,PA66,cae,R1,2024-12-21T04:00:00+00:00,18.3652,17.8039
000153,FAM-020,2.70914,5.35244,44.6669,2659.07,0.379722,49.8325,18.8877,POM,test,R1,2024-08-21T06:00:00+00:00,34.42,37.7906
000154,FAM-019,3.20807,5.68045,23.0089,2675.8,0.387607,-15.9875,49.8942,PA66,test,R2,2024-03-10T03:00:00+00:00,54.4621,47.3282
000155,FAM-039,1.80552,6.96045,27.422,2575.73,0.27051,46.9366,46.2336,PA66,cae,R3,2024-05-06T20:00:00+00:00,14.7681,15.7746
000156,FAM-017,2.67672,7.04513,26.6933,1429.75,0.366743,23.2747,31.3389,PP,test,R1,2024-01-20T16:00:00+00:00,16.7303,12.7398
000157,FAM-027,2.43391,6.95729,30.9964,2374.5,0.424542,71.0678,48.5126,POM,test,R3,2024-08-30T09:00:00+00:00,22.1289,16.2019
000158,FAM-033,2.03918,8.28107,26.4592,2655.12,0.390214,58.7518,44.0608,PA66,cae,R2,2024-04-27T09:00:00+00:00,13.3135,13.9248
000159,FAM-001,3.01254,7.1332,34.9528,2554,0.267134,-18.5452,19.3504,PA66,test,R3,2024-07-11T01:00:00+00:00,36.582,30.7502
000160,FAM-025,3.02914,7.76434,33.5957,1413.69,0.295264,-15.2693,38.7318,PP,test,R3,2024-06-18T06:00:00+00:00,28.8271,18.8285
000161,FAM-017,2.56865,6.85518,26.8878,1304.89,0.383807,-22.3428,11.1574,PP,test,R1,2024-01-14T22:00:00+00:00,17.4825,15.6101
000162,FAM-010,2.66647,5.3709,25.5924,2861.83,0.237778,24.2569,35.8048,PA66,cae,R2,2024-08-24T00:00:00+00:00,32.4166,31.9672
000163,FAM-004,2.87997,6.14361,22.9491,2751.25,0.391165,-21.1151,27.0987,POM,test,R3,2024-12-18T03:00:00+00:00,39.2879,38.1188
000164,FAM-035,2.40253,5.24787,20.6421,2767.38,0.248421,49.6046,5.75717,POM,test,R1,2024-04-03T20:00:00+00:00,15.7507,27.1901
000165,FAM-011,1.92698,5.80714,21.5687,2693.34,0.391797,30.7594,17.3403,PA66,cae,R3,2024-11-16T12:00:00+00:00,18.2521,21.4189
000166,FAM-018,1.4935,7.25679,15.8253,2827.41,0.17604,61.9474,47.9922,PA66,test,R2,2025-01-06T00:00:00+00:00,8.53363,7.93549
000167,FAM-010,2.36131,5.55284,26.9263,2835.29,0.163319,0.777537,19.2124,PA66,test,R2,2024-08-30T11:00:00+00:00,24.3243,26.0111
000168,FAM-007,2.9194,6.50704,37.1923,1392.41,0.449303,27.1055,13.1655,PP,test,R1,2024-08-07T17:00:00+00:00,24.2155,21.1945
000169,FAM-007,3.22954,6.26152,36.6036,1443.43,0.410837,-17.0772,13.4389,PP,test,R1,2024-08-16T08:00:00+00:00,34.0239,27.8218
000170,FAM-026,1.86454,7.11102,35.5236,2449.25,0.414854,67.3071,26.5646,POM,test,R3,2024-06-29T09:00:00+00:00,13.3427,15.1481
000171,FAM-022,2.40232,7.06731,36.1605,3068.38,0.435384,-10.7495,42.9192,PA66,test,R1,2024-12-17T15:00:00+00:00,33.5224,26.8223
000172,FAM-017,2.61843,6.562,31.3893,1287.46,0.281495,-18.7402,39.1101,PP,test,R1,2024-01-08T14:00:00+00:00,22.9529,17.0593
000173,FAM-006,3.45683,8.18115,19.3705,2984.36,0.236051,-7.44443,24.6583,PA66,test,R2,2024-01-22T21:00:00+00:00,35.4089,26.8616
